#Turbine    Time(s)    dt(s)    generator torque (N-m)
0 20000 0.04 0
1 20000 0.04 0
2 20000 0.04 0

0 20000.04 0.04 161718.75
1 20000.04 0.04 161718.75
2 20000.04 0.04 161718.75

0 20000.08 0.04 161965.51
1 20000.08 0.04 161989.8
2 20000.08 0.04 161984.14

0 20000.12 0.04 162225.73
1 20000.12 0.04 162284.69
2 20000.12 0.04 162272.33

0 20000.16 0.04 162403.43
1 20000.16 0.04 162498.62
2 20000.16 0.04 162482.71

0 20000.2 0.04 162492.4
1 20000.2 0.04 162621.63
2 20000.2 0.04 162606.35

0 20000.24 0.04 162524.85
1 20000.24 0.04 162684.23
2 20000.24 0.04 162673.71

0 20000.28 0.04 162536.77
1 20000.28 0.04 162721.91
2 20000.28 0.04 162720.26

0 20000.32 0.04 162552.98
1 20000.32 0.04 162759.93
2 20000.32 0.04 162771.21

0 20000.36 0.04 162585.85
1 20000.36 0.04 162811.5
2 20000.36 0.04 162839.38

0 20000.4 0.04 162639.87
1 20000.4 0.04 162881.41
2 20000.4 0.04 162928.8

0 20000.44 0.04 162715.97
1 20000.44 0.04 162970.1
2 20000.44 0.04 163038.83

0 20000.48 0.04 162813.73
1 20000.48 0.04 163076.37
2 20000.48 0.04 163166.74

0 20000.52 0.04 162931.97
1 20000.52 0.04 163198.57
2 20000.52 0.04 163309.3

0 20000.56 0.04 163068.6
1 20000.56 0.04 163335.13
2 20000.56 0.04 163463.46

0 20000.6 0.04 163221.02
1 20000.6 0.04 163484.67
2 20000.6 0.04 163627.05

0 20000.64 0.04 163386.5
1 20000.64 0.04 163646.12
2 20000.64 0.04 163799.02

0 20000.68 0.04 163562.48
1 20000.68 0.04 163818.59
2 20000.68 0.04 163979.33

0 20000.72 0.04 163746.54
1 20000.72 0.04 164001.48
2 20000.72 0.04 164168.74

0 20000.76 0.04 163936.33
1 20000.76 0.04 164194.22
2 20000.76 0.04 164368.64

0 20000.8 0.04 164129.81
1 20000.8 0.04 164396.1
2 20000.8 0.04 164580.7

0 20000.84 0.04 164325.59
1 20000.84 0.04 164606.04
2 20000.84 0.04 164806.22

0 20000.88 0.04 164523.55
1 20000.88 0.04 164822.53
2 20000.88 0.04 165045.36

0 20000.92 0.04 164724.97
1 20000.92 0.04 165043.77
2 20000.92 0.04 165296.81

0 20000.96 0.04 164932.33
1 20000.96 0.04 165267.86
2 20000.96 0.04 165558.06

0 20001 0.04 165147.97
1 20001 0.04 165493.11
2 20001 0.04 165826.28

0 20001.04 0.04 165373.16
1 20001.04 0.04 165718.4
2 20001.04 0.04 166099.29

0 20001.08 0.04 165607.64
1 20001.08 0.04 165943.36
2 20001.08 0.04 166375.79

0 20001.12 0.04 165849.92
1 20001.12 0.04 166168.26
2 20001.12 0.04 166654.99

0 20001.16 0.04 166097.71
1 20001.16 0.04 166393.61
2 20001.16 0.04 166936.48

0 20001.2 0.04 166348.46
1 20001.2 0.04 166619.58
2 20001.2 0.04 167220.19

0 20001.24 0.04 166600.09
1 20001.24 0.04 166845.9
2 20001.24 0.04 167506.54

0 20001.28 0.04 166851.08
1 20001.28 0.04 167071.97
2 20001.28 0.04 167796.15

0 20001.32 0.04 167100.19
1 20001.32 0.04 167297.35
2 20001.32 0.04 168089.59

0 20001.36 0.04 167346.22
1 20001.36 0.04 167521.72
2 20001.36 0.04 168387.42

0 20001.4 0.04 167588.56
1 20001.4 0.04 167744.88
2 20001.4 0.04 168690.18

0 20001.44 0.04 167827.6
1 20001.44 0.04 167966.8
2 20001.44 0.04 168998.27

0 20001.48 0.04 168064.44
1 20001.48 0.04 168187.88
2 20001.48 0.04 169311.41

0 20001.52 0.04 168300.61
1 20001.52 0.04 168409.28
2 20001.52 0.04 169628.18

0 20001.56 0.04 168537.75
1 20001.56 0.04 168632.64
2 20001.56 0.04 169946.1

0 20001.6 0.04 168777.32
1 20001.6 0.04 168859.46
2 20001.6 0.04 170262.52

0 20001.64 0.04 169020.64
1 20001.64 0.04 169090.8
2 20001.64 0.04 170576.01

0 20001.68 0.04 169269.03
1 20001.68 0.04 169327.22
2 20001.68 0.04 170886.93

0 20001.72 0.04 169523.88
1 20001.72 0.04 169568.88
2 20001.72 0.04 171196.7

0 20001.76 0.04 169786.26
1 20001.76 0.04 169815.63
2 20001.76 0.04 171506.47

0 20001.8 0.04 170056.43
1 20001.8 0.04 170067.31
2 20001.8 0.04 171816.95

0 20001.84 0.04 170333.74
1 20001.84 0.04 170323.87
2 20001.84 0.04 172128.85

0 20001.88 0.04 170617.13
1 20001.88 0.04 170585.26
2 20001.88 0.04 172443.19

0 20001.92 0.04 170905.91
1 20001.92 0.04 170851.08
2 20001.92 0.04 172761.31

0 20001.96 0.04 171199.43
1 20001.96 0.04 171120.49
2 20001.96 0.04 173084.03

0 20002 0.04 171496.95
1 20002 0.04 171392.08
2 20002 0.04 173410.95

0 20002.04 0.04 171797.57
1 20002.04 0.04 171664.02
2 20002.04 0.04 173740.67

0 20002.08 0.04 172100.21
1 20002.08 0.04 171934.71
2 20002.08 0.04 174071.5

0 20002.12 0.04 172403.23
1 20002.12 0.04 172203.58
2 20002.12 0.04 174402.42

0 20002.16 0.04 172704.18
1 20002.16 0.04 172471.34
2 20002.16 0.04 174733.39

0 20002.2 0.04 173000.09
1 20002.2 0.04 172739.3
2 20002.2 0.04 175065.06

0 20002.24 0.04 173288.25
1 20002.24 0.04 173008.31
2 20002.24 0.04 175398.38

